E2,Time,Celsius(�C),Humidity(%rh),Dew Point(�C),Serial Number
131,2023-10-19 22:50:00,17,62,9.7,
132,2023-10-19 22:55:00,17,62,9.7,
133,2023-10-19 23:00:00,17,62,9.7,
134,2023-10-19 23:05:00,17,62,9.7,
135,2023-10-19 23:10:00,17,62,9.7,
136,2023-10-19 23:15:00,17,62,9.7,
137,2023-10-19 23:20:00,17,62,9.7,
138,2023-10-19 23:25:00,17,62,9.7,
139,2023-10-19 23:30:00,17,62,9.7,
140,2023-10-19 23:35:00,17,62,9.7,
141,2023-10-19 23:40:00,17,62,9.7,
142,2023-10-19 23:45:00,17,62,9.7,
143,2023-10-19 23:50:00,17,62,9.7,
144,2023-10-19 23:55:00,17,62,9.7,
145,2023-10-20 00:00:00,17,62,9.7,
146,2023-10-20 00:05:00,17,62,9.7,
147,2023-10-20 00:10:00,17,62,9.7,
148,2023-10-20 00:15:00,17,62,9.7,
149,2023-10-20 00:20:00,17,62,9.7,
150,2023-10-20 00:25:00,17,62,9.7,
151,2023-10-20 00:30:00,17,62,9.7,
152,2023-10-20 00:35:00,17,62,9.7,
153,2023-10-20 00:40:00,17,62,9.7,
154,2023-10-20 00:45:00,17,62,9.7,
155,2023-10-20 00:50:00,17,62,9.7,
156,2023-10-20 00:55:00,17,62,9.7,
157,2023-10-20 01:00:00,17,62,9.7,
158,2023-10-20 01:05:00,17,62,9.7,
159,2023-10-20 01:10:00,17,62,9.7,
160,2023-10-20 01:15:00,17,62,9.7,
161,2023-10-20 01:20:00,17,62,9.7,
162,2023-10-20 01:25:00,17,62,9.7,
163,2023-10-20 01:30:00,17,62,9.7,
164,2023-10-20 01:35:00,17,62,9.7,
165,2023-10-20 01:40:00,17,62,9.7,
166,2023-10-20 01:45:00,17,62,9.7,
167,2023-10-20 01:50:00,17,62,9.7,
168,2023-10-20 01:55:00,17,62,9.7,
169,2023-10-20 02:00:00,17,62,9.7,
170,2023-10-20 02:05:00,17,62,9.7,
171,2023-10-20 02:10:00,17,62,9.7,
172,2023-10-20 02:15:00,17,62,9.7,
173,2023-10-20 02:20:00,17,62,9.7,
174,2023-10-20 02:25:00,17,62,9.7,
175,2023-10-20 02:30:00,17,62,9.7,
176,2023-10-20 02:35:00,17,62,9.7,
177,2023-10-20 02:40:00,16.5,62,9.2,
178,2023-10-20 02:45:00,16.5,62,9.2,
179,2023-10-20 02:50:00,16.5,62,9.2,
180,2023-10-20 02:55:00,16.5,62,9.2,
181,2023-10-20 03:00:00,16.5,62,9.2,
182,2023-10-20 03:05:00,16.5,62,9.2,
183,2023-10-20 03:10:00,16.5,62,9.2,
184,2023-10-20 03:15:00,16.5,62,9.2,
185,2023-10-20 03:20:00,16.5,62,9.2,
186,2023-10-20 03:25:00,16.5,62,9.2,
187,2023-10-20 03:30:00,16.5,62,9.2,
188,2023-10-20 03:35:00,16.5,62,9.2,
189,2023-10-20 03:40:00,16.5,62,9.2,
190,2023-10-20 03:45:00,16.5,62,9.2,
191,2023-10-20 03:50:00,16.5,62,9.2,
192,2023-10-20 03:55:00,16.5,62,9.2,
193,2023-10-20 04:00:00,16.5,62,9.2,
194,2023-10-20 04:05:00,16.5,62,9.2,
195,2023-10-20 04:10:00,16.5,62,9.2,
196,2023-10-20 04:15:00,16.5,62,9.2,
197,2023-10-20 04:20:00,16.5,62,9.2,
198,2023-10-20 04:25:00,16.5,62,9.2,
199,2023-10-20 04:30:00,16.5,62,9.2,
200,2023-10-20 04:35:00,16.5,62,9.2,
201,2023-10-20 04:40:00,16.5,62,9.2,
202,2023-10-20 04:45:00,16.5,62,9.2,
203,2023-10-20 04:50:00,16.5,62,9.2,
204,2023-10-20 04:55:00,16.5,62,9.2,
205,2023-10-20 05:00:00,16.5,62,9.2,
206,2023-10-20 05:05:00,16.5,62,9.2,
207,2023-10-20 05:10:00,16.5,62,9.2,
208,2023-10-20 05:15:00,16.5,62,9.2,
209,2023-10-20 05:20:00,16.5,62,9.2,
210,2023-10-20 05:25:00,16.5,62,9.2,
211,2023-10-20 05:30:00,16.5,62,9.2,
212,2023-10-20 05:35:00,16.5,62,9.2,
213,2023-10-20 05:40:00,16.5,62,9.2,
214,2023-10-20 05:45:00,16.5,62,9.2,
215,2023-10-20 05:50:00,16.5,62,9.2,
216,2023-10-20 05:55:00,16.5,62,9.2,
217,2023-10-20 06:00:00,16.5,62,9.2,
218,2023-10-20 06:05:00,16.5,62,9.2,
219,2023-10-20 06:10:00,16.5,62,9.2,
220,2023-10-20 06:15:00,16.5,62,9.2,
221,2023-10-20 06:20:00,16.5,62,9.2,
222,2023-10-20 06:25:00,16.5,62,9.2,
223,2023-10-20 06:30:00,16.5,62,9.2,
224,2023-10-20 06:35:00,16.5,62,9.2,
225,2023-10-20 06:40:00,16.5,62,9.2,
226,2023-10-20 06:45:00,16.5,62,9.2,
227,2023-10-20 06:50:00,16.5,62,9.2,
228,2023-10-20 06:55:00,16.5,62,9.2,
229,2023-10-20 07:00:00,16.5,62,9.2,
230,2023-10-20 07:05:00,16.5,62,9.2,
231,2023-10-20 07:10:00,16.5,62,9.2,
232,2023-10-20 07:15:00,16.5,62,9.2,
233,2023-10-20 07:20:00,16.5,62,9.2,
234,2023-10-20 07:25:00,16.5,62,9.2,
235,2023-10-20 07:30:00,16.5,62,9.2,
236,2023-10-20 07:35:00,16.5,62,9.2,
237,2023-10-20 07:40:00,16.5,62,9.2,
238,2023-10-20 07:45:00,16.5,62,9.2,
239,2023-10-20 07:50:00,16.5,62,9.2,
240,2023-10-20 07:55:00,16.5,62,9.2,
241,2023-10-20 08:00:00,16.5,62,9.2,
242,2023-10-20 08:05:00,16.5,62,9.2,
243,2023-10-20 08:10:00,16.5,62,9.2,
244,2023-10-20 08:15:00,16.5,62,9.2,
245,2023-10-20 08:20:00,16.5,62,9.2,
246,2023-10-20 08:25:00,16.5,62,9.2,
247,2023-10-20 08:30:00,16.5,62,9.2,
248,2023-10-20 08:35:00,16.5,62,9.2,
249,2023-10-20 08:40:00,16.5,62,9.2,
250,2023-10-20 08:45:00,16.5,62,9.2,
251,2023-10-20 08:50:00,16.5,62,9.2,
252,2023-10-20 08:55:00,16.5,62,9.2,
253,2023-10-20 09:00:00,16.5,62,9.2,
254,2023-10-20 09:05:00,16.5,62,9.2,
255,2023-10-20 09:10:00,16.5,62,9.2,
256,2023-10-20 09:15:00,16.5,62,9.2,
257,2023-10-20 09:20:00,16.5,62,9.2,
258,2023-10-20 09:25:00,16.5,62,9.2,
259,2023-10-20 09:30:00,16.5,62,9.2,
260,2023-10-20 09:35:00,16.5,62,9.2,
261,2023-10-20 09:40:00,16.5,62,9.2,
262,2023-10-20 09:45:00,16.5,62,9.2,
263,2023-10-20 09:50:00,16.5,62,9.2,
264,2023-10-20 09:55:00,16.5,62,9.2,
265,2023-10-20 10:00:00,16.5,62,9.2,
266,2023-10-20 10:05:00,16.5,62,9.2,
267,2023-10-20 10:10:00,16.5,62,9.2,
268,2023-10-20 10:15:00,16.5,62,9.2,
269,2023-10-20 10:20:00,16.5,62,9.2,
270,2023-10-20 10:25:00,16.5,62,9.2,
271,2023-10-20 10:30:00,16.5,62,9.2,
272,2023-10-20 10:35:00,16.5,62,9.2,
273,2023-10-20 10:40:00,16.5,62,9.2,
274,2023-10-20 10:45:00,16.5,62,9.2,
275,2023-10-20 10:50:00,16.5,62,9.2,
276,2023-10-20 10:55:00,16.5,62,9.2,
277,2023-10-20 11:00:00,16.5,62,9.2,
278,2023-10-20 11:05:00,16.5,62,9.2,
279,2023-10-20 11:10:00,16.5,62,9.2,
280,2023-10-20 11:15:00,16.5,62,9.2,
281,2023-10-20 11:20:00,16.5,62,9.2,
282,2023-10-20 11:25:00,16.5,62,9.2,
283,2023-10-20 11:30:00,16.5,62,9.2,
284,2023-10-20 11:35:00,16.5,62,9.2,
285,2023-10-20 11:40:00,16.5,62,9.2,
286,2023-10-20 11:45:00,16.5,62,9.2,
287,2023-10-20 11:50:00,16.5,62,9.2,
288,2023-10-20 11:55:00,16.5,62,9.2,
289,2023-10-20 12:00:00,16.5,62,9.2,
290,2023-10-20 12:05:00,16.5,62,9.2,
291,2023-10-20 12:10:00,16.5,62,9.2,
292,2023-10-20 12:15:00,16.5,62,9.2,
293,2023-10-20 12:20:00,16.5,62,9.2,
294,2023-10-20 12:25:00,16.5,62,9.2,
295,2023-10-20 12:30:00,16.5,62,9.2,
296,2023-10-20 12:35:00,16.5,62,9.2,
297,2023-10-20 12:40:00,16.5,62,9.2,
298,2023-10-20 12:45:00,16.5,62,9.2,
299,2023-10-20 12:50:00,16.5,62,9.2,
300,2023-10-20 12:55:00,16.5,62,9.2,
301,2023-10-20 13:00:00,16.5,62,9.2,
302,2023-10-20 13:05:00,16.5,62,9.2,
303,2023-10-20 13:10:00,16.5,62,9.2,
304,2023-10-20 13:15:00,16.5,62,9.2,
305,2023-10-20 13:20:00,16.5,62,9.2,
306,2023-10-20 13:25:00,16.5,62,9.2,
307,2023-10-20 13:30:00,16.5,62,9.2,
308,2023-10-20 13:35:00,16.5,62,9.2,
309,2023-10-20 13:40:00,16.5,62,9.2,
310,2023-10-20 13:45:00,16.5,62,9.2,
311,2023-10-20 13:50:00,16.5,62,9.2,
312,2023-10-20 13:55:00,16.5,62,9.2,
313,2023-10-20 14:00:00,16.5,62,9.2,
314,2023-10-20 14:05:00,16.5,62,9.2,
315,2023-10-20 14:10:00,16.5,62,9.2,
316,2023-10-20 14:15:00,16.5,62,9.2,
317,2023-10-20 14:20:00,16.5,62,9.2,
318,2023-10-20 14:25:00,16.5,62,9.2,
319,2023-10-20 14:30:00,16.5,62,9.2,
320,2023-10-20 14:35:00,16.5,62,9.2,
321,2023-10-20 14:40:00,16.5,62,9.2,
322,2023-10-20 14:45:00,16.5,62,9.2,
323,2023-10-20 14:50:00,16.5,62,9.2,
324,2023-10-20 14:55:00,16.5,62,9.2,
325,2023-10-20 15:00:00,16.5,62,9.2,
326,2023-10-20 15:05:00,16.5,62,9.2,
327,2023-10-20 15:10:00,16.5,61.5,9.1,
328,2023-10-20 15:15:00,16.5,61.5,9.1,
329,2023-10-20 15:20:00,16.5,61.5,9.1,
330,2023-10-20 15:25:00,16.5,61.5,9.1,
331,2023-10-20 15:30:00,16.5,61.5,9.1,
332,2023-10-20 15:35:00,16.5,61.5,9.1,
333,2023-10-20 15:40:00,16.5,61.5,9.1,
334,2023-10-20 15:45:00,16.5,61.5,9.1,
335,2023-10-20 15:50:00,16.5,61.5,9.1,
336,2023-10-20 15:55:00,16.5,61.5,9.1,
337,2023-10-20 16:00:00,16.5,61.5,9.1,
338,2023-10-20 16:05:00,16.5,61.5,9.1,
339,2023-10-20 16:10:00,16.5,61.5,9.1,
340,2023-10-20 16:15:00,16.5,61.5,9.1,
341,2023-10-20 16:20:00,16.5,61.5,9.1,
342,2023-10-20 16:25:00,16.5,61.5,9.1,
343,2023-10-20 16:30:00,16.5,61.5,9.1,
344,2023-10-20 16:35:00,16.5,61.5,9.1,
345,2023-10-20 16:40:00,16.5,61.5,9.1,
346,2023-10-20 16:45:00,16.5,61.5,9.1,
347,2023-10-20 16:50:00,16.5,61.5,9.1,
348,2023-10-20 16:55:00,16.5,61.5,9.1,
349,2023-10-20 17:00:00,16,61.5,8.6,
350,2023-10-20 17:05:00,16,61.5,8.6,
351,2023-10-20 17:10:00,16,61.5,8.6,
352,2023-10-20 17:15:00,16,61.5,8.6,
353,2023-10-20 17:20:00,16,62,8.7,
354,2023-10-20 17:25:00,16,62,8.7,
355,2023-10-20 17:30:00,16,62,8.7,
356,2023-10-20 17:35:00,16,62,8.7,
357,2023-10-20 17:40:00,16,62,8.7,
358,2023-10-20 17:45:00,16,62,8.7,
359,2023-10-20 17:50:00,16,62,8.7,
360,2023-10-20 17:55:00,16,61.5,8.6,
361,2023-10-20 18:00:00,16,61.5,8.6,
362,2023-10-20 18:05:00,16,61.5,8.6,
363,2023-10-20 18:10:00,16,61.5,8.6,
364,2023-10-20 18:15:00,16,61.5,8.6,
365,2023-10-20 18:20:00,16,61.5,8.6,
366,2023-10-20 18:25:00,16,61.5,8.6,
367,2023-10-20 18:30:00,16,61.5,8.6,
368,2023-10-20 18:35:00,16,61.5,8.6,
369,2023-10-20 18:40:00,16,61.5,8.6,
370,2023-10-20 18:45:00,16,61.5,8.6,
371,2023-10-20 18:50:00,16,61.5,8.6,
372,2023-10-20 18:55:00,16,61.5,8.6,
373,2023-10-20 19:00:00,16,61.5,8.6,
374,2023-10-20 19:05:00,16,61.5,8.6,
375,2023-10-20 19:10:00,16,61.5,8.6,
376,2023-10-20 19:15:00,16,61.5,8.6,
377,2023-10-20 19:20:00,16,61.5,8.6,
378,2023-10-20 19:25:00,16,61.5,8.6,
379,2023-10-20 19:30:00,16,61.5,8.6,
380,2023-10-20 19:35:00,16,61.5,8.6,
381,2023-10-20 19:40:00,16,61.5,8.6,
382,2023-10-20 19:45:00,16,61.5,8.6,
383,2023-10-20 19:50:00,16,61.5,8.6,
384,2023-10-20 19:55:00,16,61.5,8.6,
385,2023-10-20 20:00:00,16,61.5,8.6,
386,2023-10-20 20:05:00,16,61.5,8.6,
387,2023-10-20 20:10:00,16,61.5,8.6,
388,2023-10-20 20:15:00,16,61.5,8.6,
389,2023-10-20 20:20:00,16,61.5,8.6,
390,2023-10-20 20:25:00,16,61.5,8.6,
391,2023-10-20 20:30:00,16,61.5,8.6,
392,2023-10-20 20:35:00,16,61.5,8.6,
393,2023-10-20 20:40:00,16,61.5,8.6,
394,2023-10-20 20:45:00,16,61.5,8.6,
395,2023-10-20 20:50:00,16,61.5,8.6,
396,2023-10-20 20:55:00,16,61.5,8.6,
397,2023-10-20 21:00:00,16,61.5,8.6,
398,2023-10-20 21:05:00,16,61.5,8.6,
399,2023-10-20 21:10:00,16,61.5,8.6,
400,2023-10-20 21:15:00,16,61.5,8.6,
401,2023-10-20 21:20:00,16,61.5,8.6,
402,2023-10-20 21:25:00,16,61.5,8.6,
403,2023-10-20 21:30:00,16,61.5,8.6,
404,2023-10-20 21:35:00,16,61.5,8.6,
405,2023-10-20 21:40:00,16,61.5,8.6,
406,2023-10-20 21:45:00,16,61.5,8.6,
407,2023-10-20 21:50:00,16,61.5,8.6,
408,2023-10-20 21:55:00,16,61.5,8.6,
409,2023-10-20 22:00:00,16,61.5,8.6,
410,2023-10-20 22:05:00,16,61.5,8.6,
411,2023-10-20 22:10:00,16,61.5,8.6,
412,2023-10-20 22:15:00,16,61.5,8.6,
413,2023-10-20 22:20:00,16,61.5,8.6,
414,2023-10-20 22:25:00,16,61.5,8.6,
415,2023-10-20 22:30:00,16,61.5,8.6,
416,2023-10-20 22:35:00,16,61.5,8.6,
417,2023-10-20 22:40:00,16,61.5,8.6,
418,2023-10-20 22:45:00,16,61.5,8.6,
419,2023-10-20 22:50:00,16,61.5,8.6,
420,2023-10-20 22:55:00,16,61.5,8.6,
421,2023-10-20 23:00:00,16,61.5,8.6,
422,2023-10-20 23:05:00,16,61.5,8.6,
423,2023-10-20 23:10:00,16,61.5,8.6,
424,2023-10-20 23:15:00,16,61.5,8.6,
425,2023-10-20 23:20:00,16,61.5,8.6,
426,2023-10-20 23:25:00,16,61.5,8.6,
427,2023-10-20 23:30:00,16,61.5,8.6,
428,2023-10-20 23:35:00,16,61.5,8.6,
429,2023-10-20 23:40:00,16,61.5,8.6,
430,2023-10-20 23:45:00,16,61.5,8.6,
431,2023-10-20 23:50:00,16,61.5,8.6,
432,2023-10-20 23:55:00,16,61.5,8.6,
433,2023-10-21 00:00:00,16,61.5,8.6,
434,2023-10-21 00:05:00,16,61.5,8.6,
435,2023-10-21 00:10:00,16,61.5,8.6,
436,2023-10-21 00:15:00,16,61.5,8.6,
437,2023-10-21 00:20:00,16,61.5,8.6,
438,2023-10-21 00:25:00,16,61.5,8.6,
439,2023-10-21 00:30:00,16,61.5,8.6,
440,2023-10-21 00:35:00,16,61.5,8.6,
441,2023-10-21 00:40:00,16,61.5,8.6,
442,2023-10-21 00:45:00,16,61.5,8.6,
443,2023-10-21 00:50:00,16,61.5,8.6,
444,2023-10-21 00:55:00,16,61.5,8.6,
445,2023-10-21 01:00:00,16,61.5,8.6,
446,2023-10-21 01:05:00,16,61.5,8.6,
447,2023-10-21 01:10:00,16,61.5,8.6,
448,2023-10-21 01:15:00,16,61.5,8.6,
449,2023-10-21 01:20:00,16,61.5,8.6,
450,2023-10-21 01:25:00,16,61.5,8.6,
451,2023-10-21 01:30:00,16,61.5,8.6,
452,2023-10-21 01:35:00,16,61.5,8.6,
453,2023-10-21 01:40:00,16,61.5,8.6,
454,2023-10-21 01:45:00,16,61.5,8.6,
455,2023-10-21 01:50:00,16,61.5,8.6,
456,2023-10-21 01:55:00,16,61.5,8.6,
457,2023-10-21 02:00:00,16,61.5,8.6,
458,2023-10-21 02:05:00,16,61.5,8.6,
459,2023-10-21 02:10:00,16,61.5,8.6,
460,2023-10-21 02:15:00,16,61.5,8.6,
461,2023-10-21 02:20:00,16,61.5,8.6,
462,2023-10-21 02:25:00,16,61.5,8.6,
463,2023-10-21 02:30:00,16,61.5,8.6,
464,2023-10-21 02:35:00,16,61.5,8.6,
465,2023-10-21 02:40:00,16,61.5,8.6,
466,2023-10-21 02:45:00,16,61.5,8.6,
467,2023-10-21 02:50:00,16,61.5,8.6,
468,2023-10-21 02:55:00,16,61.5,8.6,
469,2023-10-21 03:00:00,16,61.5,8.6,
470,2023-10-21 03:05:00,16,61.5,8.6,
471,2023-10-21 03:10:00,16,61.5,8.6,
472,2023-10-21 03:15:00,15.5,61.5,8.1,
473,2023-10-21 03:20:00,15.5,61.5,8.1,
474,2023-10-21 03:25:00,15.5,61.5,8.1,
475,2023-10-21 03:30:00,15.5,61.5,8.1,
476,2023-10-21 03:35:00,15.5,61.5,8.1,
477,2023-10-21 03:40:00,15.5,61.5,8.1,
478,2023-10-21 03:45:00,15.5,61.5,8.1,
479,2023-10-21 03:50:00,15.5,61.5,8.1,
480,2023-10-21 03:55:00,15.5,61.5,8.1,
481,2023-10-21 04:00:00,15.5,61.5,8.1,
482,2023-10-21 04:05:00,15.5,61.5,8.1,
483,2023-10-21 04:10:00,15.5,61.5,8.1,
484,2023-10-21 04:15:00,15.5,61.5,8.1,
485,2023-10-21 04:20:00,15.5,61.5,8.1,
486,2023-10-21 04:25:00,15.5,61.5,8.1,
487,2023-10-21 04:30:00,15.5,61.5,8.1,
488,2023-10-21 04:35:00,15.5,61.5,8.1,
489,2023-10-21 04:40:00,15.5,61.5,8.1,
490,2023-10-21 04:45:00,15.5,61.5,8.1,
491,2023-10-21 04:50:00,15.5,61.5,8.1,
492,2023-10-21 04:55:00,15.5,61.5,8.1,
493,2023-10-21 05:00:00,15.5,61.5,8.1,
494,2023-10-21 05:05:00,15.5,61.5,8.1,
495,2023-10-21 05:10:00,15.5,61.5,8.1,
496,2023-10-21 05:15:00,15.5,61.5,8.1,
497,2023-10-21 05:20:00,15.5,61.5,8.1,
498,2023-10-21 05:25:00,15.5,61.5,8.1,
499,2023-10-21 05:30:00,15.5,61.5,8.1,
500,2023-10-21 05:35:00,15.5,61.5,8.1,
501,2023-10-21 05:40:00,15.5,61.5,8.1,
502,2023-10-21 05:45:00,15.5,61.5,8.1,
503,2023-10-21 05:50:00,15.5,61.5,8.1,
504,2023-10-21 05:55:00,15.5,61.5,8.1,
505,2023-10-21 06:00:00,15.5,61.5,8.1,
506,2023-10-21 06:05:00,15.5,61.5,8.1,
507,2023-10-21 06:10:00,15.5,61.5,8.1,
508,2023-10-21 06:15:00,15.5,61.5,8.1,
509,2023-10-21 06:20:00,15.5,61.5,8.1,
510,2023-10-21 06:25:00,15.5,61.5,8.1,
511,2023-10-21 06:30:00,15.5,61.5,8.1,
512,2023-10-21 06:35:00,15.5,61.5,8.1,
513,2023-10-21 06:40:00,15.5,61.5,8.1,
514,2023-10-21 06:45:00,15.5,61.5,8.1,
515,2023-10-21 06:50:00,15.5,61.5,8.1,
516,2023-10-21 06:55:00,15.5,61.5,8.1,
517,2023-10-21 07:00:00,15.5,61.5,8.1,
518,2023-10-21 07:05:00,15.5,61.5,8.1,
519,2023-10-21 07:10:00,15.5,61.5,8.1,
520,2023-10-21 07:15:00,15.5,61.5,8.1,
521,2023-10-21 07:20:00,15.5,61.5,8.1,
522,2023-10-21 07:25:00,15.5,61.5,8.1,
523,2023-10-21 07:30:00,15.5,61.5,8.1,
524,2023-10-21 07:35:00,15.5,61.5,8.1,
525,2023-10-21 07:40:00,15.5,61.5,8.1,
526,2023-10-21 07:45:00,15.5,61.5,8.1,
527,2023-10-21 07:50:00,15.5,61.5,8.1,
528,2023-10-21 07:55:00,15.5,61.5,8.1,
529,2023-10-21 08:00:00,15.5,61.5,8.1,
530,2023-10-21 08:05:00,15.5,61.5,8.1,
531,2023-10-21 08:10:00,15.5,61.5,8.1,
532,2023-10-21 08:15:00,15.5,61.5,8.1,
533,2023-10-21 08:20:00,15.5,61.5,8.1,
534,2023-10-21 08:25:00,15.5,61.5,8.1,
535,2023-10-21 08:30:00,15.5,61.5,8.1,
536,2023-10-21 08:35:00,15.5,61.5,8.1,
537,2023-10-21 08:40:00,15.5,61.5,8.1,
538,2023-10-21 08:45:00,15.5,61.5,8.1,
539,2023-10-21 08:50:00,15.5,61.5,8.1,
540,2023-10-21 08:55:00,15.5,61.5,8.1,
